#,File Number,Trade Name,Corp Name,Business Status,Address,City,State,Zip,Mail Address,Mail City,Mail State,Mail Zip,County,Permit Number,Issue Date,Permit Status
71,00090855CM-999,Asheville Pizza and Brewing Company,Asheville Pizza and Brewing Company Inc,Cancelled,675 Merrimon Avenue,Asheville,,28804,,,,,Buncombe,00090855BM,1/19/2000,Cancelled
,00090855CM-999,Asheville Pizza and Brewing Company,Asheville Pizza and Brewing Company Inc,Cancelled,675 Merrimon Avenue,Asheville,,28804,,,,,Buncombe,00090855DG,9/2/2010,Cancelled
72,00090855CM-998,Asheville Brewing Company,Asheville Pizza and Brewing Company Inc,Active,77 Coxe Avenue,Asheville,,28801,675 Merrimon Avenue,Asheville,NC ,28804,Buncombe,00143575BW,6/9/2006,Active
,00090855CM-998,Asheville Brewing Company,Asheville Pizza and Brewing Company Inc,Active,77 Coxe Avenue,Asheville,,28801,675 Merrimon Avenue,Asheville,NC ,28804,Buncombe,00143575BM,6/9/2006,Active
73,00090855CM-997,Asheville Pizza and Brewing Company,Asheville Pizza and Brewing Company Inc,Active,66 Asheland Avenue,Asheville,,28801,675 Merrimon Avenue,Asheville,NC ,28804,Buncombe,00242873BM,1/20/2017 16:03,Active
,00090855CM-997,Asheville Pizza and Brewing Company,Asheville Pizza and Brewing Company Inc,Active,66 Asheland Avenue,Asheville,,28801,675 Merrimon Avenue,Asheville,NC ,28804,Buncombe,00242873DG,1/20/2017 16:03,Active
74,00095513DI-999,Piedmont Distillers,Piedmont Distillers Inc,Cancelled,203 East Murphy Street,Madison,,27025,PO Box 472,Madison,NC ,27025,Rockingham,00095513DI,11/5/1999,Cancelled
75,00096488CM-999,Liberty Brewery and Grill,Liberty Steakhouse and Brewery of High Point Inc,Active,914 Mall Loop Road,High Point,,27262,1177 Southgate Drive,Charleston,SC ,29407,Guilford,00096488BW,6/7/2002,Active
,00096488CM-999,Liberty Brewery and Grill,Liberty Steakhouse and Brewery of High Point Inc,Active,914 Mall Loop Road,High Point,,27262,1177 Southgate Drive,Charleston,SC ,29407,Guilford,00096488DG,8/9/2012,Active
,00096488CM-999,Liberty Brewery and Grill,Liberty Steakhouse and Brewery of High Point Inc,Active,914 Mall Loop Road,High Point,,27262,1177 Southgate Drive,Charleston,SC ,29407,Guilford,00096488BM,4/10/2000,Active
76,0009CM-994,Biltmore Brewing Company,Biltmore Estate Wine Company LLC,Active,12 Old Charlotte Hwy,Asheville,,28803,One North Pack Square,Asheville,NC ,28801,Buncombe,00176963BW,6/14/2010,Active
,0009CM-994,Biltmore Brewing Company,Biltmore Estate Wine Company LLC,Active,12 Old Charlotte Hwy,Asheville,,28803,One North Pack Square,Asheville,NC ,28801,Buncombe,00176963BM,6/14/2010,Active
77,00100255CM-999,Huske Hardware House Brewing Company,4 J's Inc,Cancelled,405 Hay Street,Fayetteville,,28301,,,,,Cumberland,00100255BW,7/13/2000,Cancelled
,00100255CM-999,Huske Hardware House Brewing Company,4 J's Inc,Cancelled,405 Hay Street,Fayetteville,,28301,,,,,Cumberland,00100255BM,7/5/2000,Cancelled
78,00104662CM-999,French Broad Brewing Company,Benefit Brewing Inc,Cancelled,101-D Fairview Road,Asheville,,28803,,,,,Buncombe,00104662DG,8/4/2011,Cancelled
,00104662CM-999,French Broad Brewing Company,Benefit Brewing Inc,Cancelled,101-D Fairview Road,Asheville,,28803,,,,,Buncombe,00104662BM,3/23/2001,Cancelled
,00104662CM-999,French Broad Brewing Company,Benefit Brewing Inc,Cancelled,101-D Fairview Road,Asheville,,28803,,,,,Buncombe,00104662BW,2/12/2001,Cancelled
79,00107697CM-999,Outer Banks Brewing Station,Outer Banks Brewing LLC,Active,600 South Croatan Hwy,Kill Devil Hills,,27948,PO Box 2584,Kill Devil Hills,NC ,27948,Dare,00107697DG,5/4/2015,Active
,00107697CM-999,Outer Banks Brewing Station,Outer Banks Brewing LLC,Active,600 South Croatan Hwy,Kill Devil Hills,,27948,PO Box 2584,Kill Devil Hills,NC ,27948,Dare,00107697BM,7/5/2001,Active
,00107697CM-999,Outer Banks Brewing Station,Outer Banks Brewing LLC,Active,600 South Croatan Hwy,Kill Devil Hills,,27948,PO Box 2584,Kill Devil Hills,NC ,27948,Dare,00107697BW,7/5/2001,Active
80,00109360CM-999,Chesapeake Bay Brewing Company,Chesapeake Bay Brewing Company,Cancelled,1249 Wicker Drive,Raleigh,,27604,,,,,Wake,00109360BM,12/14/2001,Cancelled
81,00117686CM-998,Miller Brewing Company,Miller Brewing Company,Cancelled,863 East Meadow Road,Eden,,27288,3939 West Highland Blvd,Milwaukee,WI ,53208,Rockingham,00117640BM,11/13/2002,Cancelled
82,00120904CM-999,Carolina Brewery,Carolina Brewery Inc,Cancelled,462 West Franklin Street Unit B,Chapel Hill,,27516,PO Box 8,Chapel Hill,NC ,27514,Orange,00120904BM,7/21/2003,Cancelled
,00120904CM-999,Carolina Brewery,Carolina Brewery Inc,Cancelled,462 West Franklin Street Unit B,Chapel Hill,,27516,PO Box 8,Chapel Hill,NC ,27514,Orange,00120904BW,7/21/2003,Cancelled
83,00120952CM-999,Miller Brewing Company,Miller Brewing Company,Cancelled,863 East Meadow Road,Eden,,27288,3939 West Highland Blvd,Milwaukee,WI ,53208,Rockingham,00120952BM,7/14/2003,Cancelled
84,00122892CM-999,Edenton Brewing Company,Edenton Brewing Company Inc,Cancelled,1249-A Wicker Drive,Raleigh,,27604,,,,,Wake,00122892BM,10/27/2003,Cancelled
,00122892CM-999,Edenton Brewing Company,Edenton Brewing Company Inc,Cancelled,1249-A Wicker Drive,Raleigh,,27604,,,,,Wake,00122892BW,10/27/2003,Cancelled
85,00122989CM-999,Green Man Brewing,Green Man Brewing LLC,Cancelled,23 Buxton Avenue,Asheville,,28801,40 Wall Street,Asheville,NC ,28801,Buncombe,00122989BW,3/2/2004,Cancelled
,00122989CM-999,Green Man Brewing,Green Man Brewing LLC,Cancelled,23 Buxton Avenue,Asheville,,28801,40 Wall Street,Asheville,NC ,28801,Buncombe,00122989BM,3/2/2004,Cancelled
86,00123039CM-999,Appalachian Brewing Company,Appalachian Brewing Company Inc,Cancelled,142 Redmond Gap,Rosman,,28772,PO Box 1758,Brevard,NC ,28712,Transylvania,00123039BM,11/25/2003,Cancelled
,00123039CM-999,Appalachian Brewing Company,Appalachian Brewing Company Inc,Cancelled,142 Redmond Gap,Rosman,,28772,PO Box 1758,Brevard,NC ,28712,Transylvania,00123039BW,11/25/2003,Cancelled
87,00127477CM-999,Heinzelmannchen Brewery,Heinzelmannchen Brewery Inc,Cancelled,545 Mill Street,Sylva,,28779,PO Box 2075,Sylva,NC ,28779,Jackson,00127477BW,6/21/2004,Cancelled
,00127477CM-999,Heinzelmannchen Brewery,Heinzelmannchen Brewery Inc,Cancelled,545 Mill Street,Sylva,,28779,PO Box 2075,Sylva,NC ,28779,Jackson,00127477BM,6/21/2004,Cancelled
,00127477CM-999,Heinzelmannchen Brewery,Heinzelmannchen Brewery Inc,Cancelled,545 Mill Street,Sylva,,28779,PO Box 2075,Sylva,NC ,28779,Jackson,00127477DG,9/16/2010,Cancelled
88,00130084CM-998,Sierra Nevada Brewing Company,Sierra Nevada Brewing Company,Active,100 Sierra Nevada Way,Mills River,,28759,1075 East 20th Street,Chico,CA ,95928,Henderson,00212477DG,9/17/2014,Active
,00130084CM-998,Sierra Nevada Brewing Company,Sierra Nevada Brewing Company,Active,100 Sierra Nevada Way,Mills River,,28759,1075 East 20th Street,Chico,CA ,95928,Henderson,00212477BM,9/17/2014,Active
,00130084CM-998,Sierra Nevada Brewing Company,Sierra Nevada Brewing Company,Active,100 Sierra Nevada Way,Mills River,,28759,1075 East 20th Street,Chico,CA ,95928,Henderson,00212477BW,9/17/2014,Active
89,00130119CM-999,Natty Greenes Pub and Brewing Company,Hamburger Square Brewhouse Inc,Active,345 South Elm Street,Greensboro,,27401,1918 West Lee Street,Greensboro,NC ,27403,Guilford,00130119BM,9/28/2004,Active
,00130119CM-999,Natty Greenes Pub and Brewing Company,Hamburger Square Brewhouse Inc,Active,345 South Elm Street,Greensboro,,27401,1918 West Lee Street,Greensboro,NC ,27403,Guilford,00130119BW,4/6/2005,Active
90,00130119CM-998,Natty Greenes Brewing Company,Hamburger Square Brewhouse Inc,Active,1918 West Gate City Blvd,Greensboro,,27403,,,,,Guilford,00154083BM,8/20/2007,Active
